"id;""user_id"";""created_at"";""tweet_text"";""hashtag_entities"";""url_entities"";""favorites_count"";""retweet_count"";""quoted_status_id"";""in_reply_to_status_id"""
"212937681209008128;51228911;""2012-06-13 16:01:14"";""As Mayor I helped bring 5/3 Field and @Dragonsbaseball to Dayton. Now #8 successful @MinorLeagues in US http://t.co/VP972VN5"";""{}"";""{http://t.co/VP972VN5}"";1;2;;"
"536971652765347840;210926192;""2014-11-24 19:56:33"";""Thank you @APSATweets for honoring me last week with the Humphrey Award for notable public service! http://t.co/x6tKcarORA"";""{}"";""{}"";1;0;;"
"740903151717502976;231108733;""2016-06-09 13:47:31"";""I love this pic of my daughter. Captures her personality https://t.co/el333JRusy"";""{}"";""{}"";10;0;;"
"495363996505997312;117777832;""2014-08-02 00:22:34"";""@RepPaulRyan Champions the Helping Families in #MentalHealth Crisis Act! #HR3717 #TB4T http://t.co/5PQlII3rdn"";""{MentalHealth",HR3717,"TB4T}"";""{http://t.co/5PQlII3rdn}"";4;0;;"
"421659150230110209;240427862;""2014-01-10 15:05:50"";""Here is a list of places you can go for water distribution and fill-up in the Charleston area: http://t.co/AMyZoVMbA2"";""{}"";""{http://t.co/AMyZoVMbA2}"";0;0;;"
"746052440282259457;1531521632;""2016-06-23 18:48:57"";""RT @SecretaryFoxx: And the winner is...Columbus! #DOTSmartCity https://t.co/TPBzZ82bAQ"";""{DOTSmartCity}"";""{https://t.co/TPBzZ82bAQ}"";0;150;;"
"499996475859156992;993153006;""2014-08-14 19:10:23"";""Glad to see the VA is beginning to address this serious issue &amp; helping our vets receive the care they need &amp; deserve http://t.co/ZZzoM2cVxB"";""{}"";""{http://t.co/ZZzoM2cVxB}"";0;3;;"
"636251483193917440;211420609;""2015-08-25 18:59:09"";""O-H...5-0! Happy Birthday @Brutus_Buckeye #BuckeyeNation"";""{BuckeyeNation}"";""{}"";4;2;;"
"835555241923760128;1061385474;""2017-02-25 18:21:08"";""Thank you to the @AbqIndivisible and its 400 members for engaging in your government."";""{}"";""{}"";21;8;;"
"316277180265017344;1099199839;""2013-03-25 19:55:30"";""RT @SenatorTomUdall: History in the making! Celebrating the #RioGrandedelNorte National Monument Proclamation in #Taos #NM today w/ 120+ ..."";""{RioGrandedelNorte",Taos,"NM}"";""{}"";0;9;;"
"665662825134759936;211530910;""2015-11-14 22:49:19"";""Along with my volunteer Service Academy Nomination Board"," today I interviewed 14 young men and 6... https://t.co/D0V3xOTOgf"";""{}"";""{https://t.co/D0V3xOTOgf}"";0;0;;"
"526434423617888258;111721601;""2014-10-26 18:05:21"";""RT @MontanaFWP: Big game appears widespread for Montana's 2014 hunting season: http://t.co/lYycSXrk1w"";""{}"";""{http://t.co/lYycSXrk1w}"";0;1;;"
"525651191087497216;14845376;""2014-10-24 14:13:04"";""Our thoughts and prayers are with the Canadian people during these difficult times."";""{}"";""{}"";17;15;;"
"832850798623076352;131018989;""2017-02-18 07:14:38"";""Milo was a huge disappointment. All this controversy about that? Waste of time. https://t.co/06DXAwK0F3"";""{}"";""{https://twitter.com/stephcity/status/832841593426173952}"";0;0;832841593426173952;"
"629386986835435520;236511574;""2015-08-06 20:22:05"";""Talked to @wxyzdetroit about my bill to ensure fairness for veterans improperly discharged: http://t.co/SF2RdZgNiv https://t.co/tgknY58lk2"";""{}"";""{http://t.co/SF2RdZgNiv","https://t.co/tgknY58lk2}"";0;2;;"
"488783572711383041;132278386;""2014-07-14 20:34:19"";""I'm proud to support research &amp; innovation jobs in MD's biotech industry keeping MD competitive in global economy http://t.co/s2JGx7CXn0"";""{}"";""{}"";7;4;;"
"588797838550704128;234837632;""2015-04-16 20:15:18"";""RT @joethomaswchv: .#Podcast - Interview on Immigration and #Iran's Nukes with @RepRobertHurt http://t.co/pUIloT9MQG @FAIRImmigration #Immi..."";""{Podcast","Iran}"";""{http://t.co/pUIloT9MQG}"";0;1;;"
"326812557652398080;235217558;""2013-04-23 21:39:20"";""As #sequestration takes effect"," federal employees should advise us on where to make cuts w/in their depts. http://t.co/w8k2Hs7Vsd"";""{sequestration}"";""{http://t.co/w8k2Hs7Vsd}"";0;1;;"
"450757064152059904;1051446626;""2014-03-31 22:10:33"";""#YadiYadiYadi with the first home run of the season!  #GoCards #OpeningDay @Cardinals"";""{YadiYadiYadi",GoCards,"OpeningDay}"";""{}"";3;2;;"
"689907196424015874;153486399;""2016-01-20 20:27:48"";""RT @OhioFoodbanks: Presser today w/ @HHSRegion5 @RepMarciaFudge @CHAPOhio 2 encourage ppl in CLE area 2 #GetCovered by 1/31 deadline! https..."";""{GetCovered}"";""{}"";0;5;;"
"245999825957580800;235251868;""2012-09-12 21:38:23"";""I'm sick of Washington excuses on the Farm Bill. Watch and share my speech calling for a #FarmBillNow http://t.co/ksKOfWMz"";""{FarmBillNow}"";""{http://t.co/ksKOfWMz}"";0;0;;"
"689511282253393920;18020081;""2016-01-19 18:14:34"";""In case you missed it"," check out @JohnKasich's job interview with @theskimm! https://t.co/bJncFz2sdH #Kasich4Us https://t.co/PXRz6EeqFx"";""{Kasich4Us}"";""{https://t.co/bJncFz2sdH}"";36;17;;"
"777199716618481665;7429102;""2016-09-17 17:37:06"";""[?] https://t.co/rCUOll5N80"";""{}"";""{}"";24;9;;"
"453985031078576128;382791093;""2014-04-09 19:57:20"";""At @SenateApprops hearing"," pressed DOT Sec Foxx to move forward w/comp plan for improving #rail safety.  http://t.co/mvpFbX0P4l"";""{rail}"";""{http://t.co/mvpFbX0P4l}"";0;2;;"
"458223122941239299;188019606;""2014-04-21 12:38:00"";""Last week the NCAA proposed unlimited meals for Division 1 athletes. Let's hope it's approved by the Board on Apr 24. http://t.co/jrnfaTqG5T"";""{}"";""{http://t.co/jrnfaTqG5T}"";3;15;;"
"607605014807207936;2915095729;""2015-06-07 17:48:18"";""We move forward when we work together #AKfuture. http://t.co/ZUsTQOe36l"";""{AKfuture}"";""{}"";1;0;;"
"588010194946371586;1058051748;""2015-04-14 16:05:29"";""Stay safe everyone. RT @TJAulds: See all the RED over Texas City"," Dickinson and League City. #galvstorm http://t.co/EXqq40hN5Z"";""{galvstorm}"";""{}"";0;1;;"
"736204332270559233;20467163;""2016-05-27 14:36:05"";""Heroin is tearing Florida families apart. Read my @TB_Times column on how I'm working to fight back: https://t.co/u7Xf78rUt2 #sayfie"";""{sayfie}"";""{https://t.co/u7Xf78rUt2}"";8;11;;"
"429020060506533888;19658173;""2014-01-30 22:35:27"";""VIDEO: Here is a brief clip of my opposition to Obama's use of executive order on @SeanHannity's show last night: https://t.co/P9PXNS7pn0"";""{}"";""{https://t.co/P9PXNS7pn0}"";1;4;;"
"524259018819514368;51228911;""2014-10-20 18:01:05"";""Today"," the entire Ohio House Delegation took bipartisan action to ensure that our families are protected from Ebola. http://t.co/fmPrOZtVMx"";""{}"";""{http://t.co/fmPrOZtVMx}"";0;0;;"
"766345416506019841;22812754;""2016-08-18 18:45:59"";""I applaud the DOJ ending federal use of profit-driven private prisons. Our system shouldn't be driven by $"," but by justice &amp; rehabilitation."";""{}"";""{}"";13;5;;"
"453633829391958017;109287731;""2014-04-08 20:41:47"";""GAO report identifies many smart ways to cut govt spending"," includes some of my proposals. Congress should act. More: http://t.co/fKFg8h3sXN"";""{}"";""{http://t.co/fKFg8h3sXN}"";1;0;;"
"732933008257343488;1055730738;""2016-05-18 13:57:01"";""RT @humanrights1st: Thanks to .@davidcicilline .@RepLowenthal .@RosLehtinen .@RepBarbaraLee and .@RandyBerry for joining us in honor of #ID..."";""{}"";""{}"";0;2;;"
"301049596170362880;1155335864;""2013-02-11 19:26:31"";""Only 8 legislative days until sequester &amp; Rs aren't doing anything to stop cuts to education", security," small business http://t.co/FRHNMQQd"";""{}"";""{http://t.co/FRHNMQQd}"";2;2;;"
"847163355026599936;24195214;""2017-03-29 19:07:38"";""I am very pleased that @AGBecerra and the state of California pursued this case. #StandWithPP "
"https://t.co/XaZ3tux0kC"";""{StandWithPP}"";""{http://www.latimes.com/local/lanow/la-me-ln-planned-parenthood-charges-activists-20170328-story.html}"";21;5;;"
"795023952355741696;20508720;""2016-11-05 22:04:15"";""Striking how confident Clinton camp sounds about Florida"," based (it seems) on what they're seeing in early vote https://t.co/PQymEZy7Qx"";""{}"";""{https://t.co/PQymEZy7Qx}"";144;92;795022332779757568;"
"566286673320108032;15281676;""2015-02-13 17:23:58"";""Watch my latest edition of the Washington Connection to learn more about the Library of Congress' Music Division: https://t.co/BpYBCr22cY"";""{}"";""{https://t.co/BpYBCr22cY}"";0;1;;"
"12656394834;50452197;""2010-04-22 19:23:17"";""New Blog Post on Larson.House.Gov: Young Adults Already Seeing Benefits of Health Care Reform"";""{}"";""{}"";0;1;;"
"555087755068190720;234406945;""2015-01-13 19:43:28"";""RT @michaelklinski: .@SDGovDaugaard speech is about 8",700 words. Almost 3,"000 words are dedicated to roads and bridges. #sdleg Live: http:/..."";""{sdleg}"";""{}"";0;7;;"
